Sequence ID,Task ID,Accuracy
1,1,"{'Task_1': 36.0, 'Task_2': 53.0, 'Task_3': 17.0, 'Task_4': 74.0, 'Task_5': 92.0}"
1,2,"{'Task_1': 100.0, 'Task_2': 53.0, 'Task_3': 17.0, 'Task_4': 79.0, 'Task_5': 87.0}"
1,3,"{'Task_1': 99.0, 'Task_2': 96.0, 'Task_3': 49.0, 'Task_4': 94.0, 'Task_5': 96.0}"
1,4,"{'Task_1': 96.0, 'Task_2': 90.0, 'Task_3': 93.0, 'Task_4': 87.0, 'Task_5': 89.0}"
1,5,"{'Task_1': 97.0, 'Task_2': 92.0, 'Task_3': 88.0, 'Task_4': 98.0, 'Task_5': 95.0}"
2,1,"{'Task_1': 99.0, 'Task_2': 43.0, 'Task_3': 41.0, 'Task_4': 67.0, 'Task_5': 51.0}"
2,2,"{'Task_1': 98.0, 'Task_2': 53.0, 'Task_3': 11.0, 'Task_4': 75.0, 'Task_5': 94.0}"
2,3,"{'Task_1': 98.0, 'Task_2': 97.0, 'Task_3': 51.0, 'Task_4': 90.0, 'Task_5': 93.0}"
2,4,"{'Task_1': 96.0, 'Task_2': 95.0, 'Task_3': 94.0, 'Task_4': 63.0, 'Task_5': 45.0}"
2,5,"{'Task_1': 92.0, 'Task_2': 90.0, 'Task_3': 88.0, 'Task_4': 99.0, 'Task_5': 91.0}"
3,1,"{'Task_1': 99.0, 'Task_2': 47.0, 'Task_3': 38.0, 'Task_4': 67.0, 'Task_5': 52.0}"
