Sequence ID,Task ID,Average Loss
Sequence ID,Task ID,Average Loss
1,1,0.5409011363983154
1,2,0.8843028362095356
1,3,3.1495709148049356
1,4,0.8048392786085605
1,5,1.4086499553918839
1,6,0.9505844262242317
1,7,0.3650235739350319
1,8,0.8266288530826569
1,9,0.20795729920268058
1,10,1.156690026819706
Sequence ID,Task ID,Average Loss
2,1,0.4598341673612595
2,2,0.3264234972000122
2,3,0.5125772345066071
2,4,1.007542860507965
2,5,1.4061924368143082
2,6,1.5690885269641877
2,7,0.3604181009531021
2,8,0.997707724571228
2,9,0.14437629148364067
2,10,0.8045716035366058
Sequence ID,Task ID,Average Loss
3,1,0.4655857118964195
3,2,3.116522903442383
3,3,1.4911810141801833
3,4,1.4376217305660248
3,5,2.2607345581054688
3,6,0.4600378206372261
3,7,0.38294518798589705
3,8,0.4682095086574554
3,9,0.9434514665603637
3,10,0.9261491566896438
